Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
24,tt8580274,2020-08-23,2020-08-23,"8 words ","Eurovision Song Contest: The Story of Fire Saga","Eurovision Song Contest: The Story of Fire Saga",https://www.imdb.com/title/tt8580274/,Movie,6.5,123,2020,"Comedy, Music",104389,2020-06-26,"David Dobkin"
25,tt1552211,2020-08-23,2020-08-23,"6 words ","The Last Days of American Crime","The Last Days of American Crime",https://www.imdb.com/title/tt1552211/,Movie,3.8,148,2020,"Action, Crime, Drama, Sci-Fi, Thriller",12568,2020-06-05,"Olivier Megaton"
26,tt3846674,2020-08-23,2020-08-23,"7 words ","To All the Boys I've Loved Before","To All the Boys I've Loved Before",https://www.imdb.com/title/tt3846674/,Movie,7.0,99,2018,"Comedy, Drama, Romance",127927,2018-08-17,"Susan Johnson"
27,tt9354842,2020-08-23,2020-08-23,"9 words ","To All the Boys: P.S. I Still Love You","To All the Boys: P.S. I Still Love You",https://www.imdb.com/title/tt9354842/,Movie,6.1,101,2020,"Comedy, Drama, Romance",48165,2020-02-12,"Michael Fimognari"
28,tt6820324,2020-08-23,2020-08-23,"5 words","Timmy Failure: Mistakes Were Made","Timmy Failure: Mistakes Were Made",https://www.imdb.com/title/tt6820324/,Movie,6.0,99,2020,"Adventure, Comedy, Drama, Family, Fantasy",3428,2020-02-07,"Tom McCarthy"
29,tt8415352,2020-08-23,2020-08-23,"6 words ","The Murder of Nicole Brown Simpson","The Murder of Nicole Brown Simpson",https://www.imdb.com/title/tt8415352/,Movie,2.6,82,2019,"Crime, Horror, Mystery, Thriller",1955,2019-12-09,"Daniel Farrands"
30,tt2527338,2020-08-23,2020-08-23,"6 words ","Star Wars: Episode IX - The Rise of Skywalker","Star Wars: Episode IX - The Rise of Skywalker",https://www.imdb.com/title/tt2527338/,Movie,6.4,141,2019,"Action, Adventure, Fantasy, Sci-Fi",505642,2019-12-20,"J.J. Abrams"
31,tt3224458,2020-08-23,2020-08-23,"6 words ","A Beautiful Day in the Neighborhood","A Beautiful Day in the Neighborhood",https://www.imdb.com/title/tt3224458/,Movie,7.2,109,2019,"Biography, Drama, Family",90368,2019-11-22,"Marielle Heller"
32,tt9243946,2020-08-23,2020-08-23,"6 words ","El Camino","El Camino",https://www.imdb.com/title/tt9243946/,Movie,7.3,122,2019,"Action, Crime, Drama, Thriller",304072,2019-10-11,"Vince Gilligan"
33,tt3387520,2020-08-23,2020-08-23,"7 words ","Scary Stories to Tell in the Dark","Scary Stories to Tell in the Dark",https://www.imdb.com/title/tt3387520/,Movie,6.2,108,2019,"Adventure, Horror, Mystery",87835,2019-08-09,"André Øvredal"
34,tt1478839,2020-08-23,2020-08-23,"7 words ","The Art of Racing in the Rain","The Art of Racing in the Rain",https://www.imdb.com/title/tt1478839/,Movie,7.6,109,2019,"Comedy, Drama, Romance, Sport",39982,2019-08-09,"Simon Curtis"
35,tt7547410,2020-08-23,2020-08-23,"7 words ","Dora and the Lost City of Gold","Dora and the Lost City of Gold",https://www.imdb.com/title/tt7547410/,Movie,6.1,102,2019,"Action, Adventure, Comedy, Family, Fantasy, Mystery",35951,2019-08-09,"James Bobin"
36,tt6806448,2020-08-23,2020-08-23,"7 words ","Fast & Furious Presents: Hobbs & Shaw","Fast & Furious Presents: Hobbs & Shaw",https://www.imdb.com/title/tt6806448/,Movie,6.5,137,2019,"Action, Adventure, Thriller",242353,2019-08-02,"David Leitch"
37,tt7131622,2020-08-23,2020-08-23,"6 words ","Once Upon a Time... in Hollywood","Once Upon a Time in... Hollywood",https://www.imdb.com/title/tt7131622/,Movie,7.6,161,2019,"Comedy, Drama",876743,2019-07-26,"Quentin Tarantino"
38,tt4353250,2020-08-23,2020-08-23,"7 words ","The Last Black Man in San Francisco","The Last Black Man in San Francisco",https://www.imdb.com/title/tt4353250/,Movie,7.3,121,2019,"Drama",22288,2019-06-07,"Joe Talbot"
39,tt6146586,2020-08-23,2020-08-23,"5 words ","John Wick: Chapter 3 - Parabellum","John Wick: Chapter 3 - Parabellum",https://www.imdb.com/title/tt6146586/,Movie,7.4,130,2019,"Action, Crime, Thriller",439371,2019-05-17,"Chad Stahelski"
40,tt2481498,2020-08-23,2020-08-23,"6 words ","Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",https://www.imdb.com/title/tt2481498/,Movie,6.7,110,2019,"Biography, Crime, Drama, Mystery, Thriller",106718,2019-05-03,"Joe Berlinger"
41,tt4530884,2020-08-23,2020-08-23,"8 words ","I Spit on Your Grave: Vengeance Is Mine","I Spit on Your Grave III: Vengeance Is Mine",https://www.imdb.com/title/tt4530884/,Movie,5.1,92,2015,"Horror, Thriller",16061,2015-11-29,"Richard Schenkman"
